section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,Masters in Program Evalution and Data Analytics ,Arizona State University,"Tempe, AZ",2022,2022,Studied R,NA,NA
education,TRUE,"B.S., Mathematics",Arizona State University,"Tempe, AZ",2015,2018,"Played Ping Pong, Chess, and Basketball",NA,NA
education,TRUE,High School,BASIS Scottsdale,"Scottsdale, AZ",2011,2015,Honors Society,NA,NA
research_positions,FALSE,Research Assistant,Adair Laboratory,University of Vermont,2012,2013,Independently analyzed and constructed statistical models for large data sets pertaining to carbon decomposition rates.,NA,NA
research_positions,FALSE,Undergraduate Researcher,Bentil Laboratory,University of Vermont,2013,2014,Developed mathematical model to predict the transport of sulfur through the environment with applications in waste cleanup.,NA,NA
research_positions,FALSE,Undergraduate Researcher,Rubenstein Ecosystems Science Laboratory,University of Vermont,2013,2015,Analyzed and visualized data for CATOS fish tracking project.,Head of data mining project to establish temporal trends in population densities of Mysis diluviana (Mysis).,Ran project to mathematically model the migration patterns of Mysis (honors thesis project.)
research_positions,FALSE,Human Computer Interaction Researcher,LabInTheWild (Reineke Lab),University of Michigan,2015,2015,Led development and implementation of interactive data visualizations to help users compare themselves to other demographics.,NA,NA
research_positions,FALSE,Graduate Research Assistant,TBILab (Yaomin Xu's Lab),Vanderbilt University,2015,2020,Primarily working with large EHR and Biobank datasets.,Developing network-based methods to investigate and visualize clinically relevant patterns in data.,NA
research_positions,FALSE,Data Science Researcher,Data Science Lab,Johns Hopkins University,2017,2018,Building R Shiny applications in the contexts of wearables and statistics education.,Work primarily done in R Shiny and Javascript (node and d3js).,NA
industry_positions,TRUE,Technical Analyst ,United Health Group,"Phoenix, AZ",2019,2020,"Wrote Java, JavaScript, and HTML to add screens in the application ",NA,NA
industry_positions,TRUE,Software Engineer,Choice Hotels,"Phoenix, AZ",2019,2019,Found and modified databases and tables in Eclipse,NA,NA
industry_positions,TRUE,Database Administrator,Veritas Technologies,"Santa Clara, CA",2018,2018,"Worked with Java, SQL, HTML, and JavaScript to modify and improve the Vendor License Portal for Oracle, SQL, and TOAD. ",NA,NA
industry_positions,TRUE,Software Engineer,Design Works Gaming,"Scottsdale, AZ",2015,2015,Ran simulations for slot machines in C# to prove that rate of Return to Player was between certain statistics ,NA,NA
industry_positions,FALSE,Data Journalist - Graphics Department,New York Times,"New York, New York",2016,2016,"Reporter with the graphics desk covering topics in science, politics, and sport.","Work primarily done in R, Javascript, and Adobe Illustrator.",NA
teaching_positions,FALSE,Statistical Computing in R,Vanderbilt Biostatistics Department,"Nashville, TN",2017,2017,TA and lectured,Covered introduction to R language for statistics applications,Graduate level class
teaching_positions,FALSE,Advanced Statistical Learning and Inference,Vanderbilt Biostatistics Department,"Nashville, TN",2017,2018,TA and lectured,Topics covered from penalized regression to boosted trees and neural networks,Highest level course offered in department
teaching_positions,FALSE,Advanced Statistical Computing,Vanderbilt Biostatistics Department,"Nashville, TN",2018,2018,TA and lectured,Covered modern statistical computing algorithms,4th year PhD level class
teaching_positions,FALSE,Data Visualization Best Practices,DataCamp,N/A,2019,2019,Designed from bottom up course to teach best practices for scientific visualizations.,Uses R and ggplot2.,In top 10% on platform by popularity.
teaching_positions,FALSE,Improving your visualization in Python,DataCamp,N/A,2019,2019,Designed from bottom up course to teach advanced methods for enhancing visualization.,"Uses python, matplotlib, and seaborn.",NA
data_science_writings,TRUE,"Crash Data in Tempe, AZ: https://vishal-etikala.shinyapps.io/Final-Project-Etikala/",Shiny R,NA,NA,2022,Crash Data in 2022 Tempe,NA,NA
data_science_writings,TRUE,"Neighborhood Change in Jersey City, NJ: https://vishal-etikala.shinyapps.io/nhood-change-dashboard-Etikala/",Shiny R,NA,NA,2022,Neighborhood change in Jersey City,NA,NA
data_science_writings,FALSE,[The United States of Seasons](https://livefreeordichotomize.com/2018/02/12/the-united-states-of-seasons/),LiveFreeOrDichotomize.com,NA,NA,2018,GIS analysis of weather data to find the most 'seasonal' locations in United States,Used Bayesian regression methods for smoothing sparse geospatial data.,NA
data_science_writings,FALSE,[A year as told by fitbit](https://livefreeordichotomize.com/2017/12/27/a-year-as-told-by-fitbit/),LiveFreeOrDichotomize.com,NA,NA,2017,Analyzing a full years worth of second-level heart rate data from wearable device.,Demonstrated visualization-based inference for large data.,NA
data_science_writings,FALSE,[MCMC and the case of the spilled seeds](https://livefreeordichotomize.com/2017/10/14/mcmc-and-the-case-of-the-spilled-seeds/),LiveFreeOrDichotomize.com,NA,NA,2017,Full Bayesian MCMC sampler running in your browser.,Coded from scratch in vanilla Javascript.,NA
